,author,title,sentence,sentence_nr,words,kind
3099,"Kipling, Rudyard",Kim,My father he is dead in Lahore city since I was very little,2156,Lahore,location
3101,"Kipling, Rudyard",Kim,Kim began with a plunge not quite sure how far the truth would serve him,2158,Kim,person
3107,"Kipling, Rudyard",Kim,My father he got these papers from the JadooGher what do you call that Bennett nodded because he was in goodstanding,2162,Bennett,person
3108,"Kipling, Rudyard",Kim,What do you call that again Bennett nodded,2163,Bennett,person
3110,"Kipling, Rudyard",Kim,He said too and also the Brahmin who made the drawing in the dust at Umballa two days ago  he  said that I shall find a Red Bull on a green field and that the Bull shall help me,2165,Umballa,location
3113,"Kipling, Rudyard",Kim,A phenomenal little liar muttered Bennett,2166,Bennett,person
3114,"Kipling, Rudyard",Kim,Powers of Darkness below what a country murmured Father Victor,2167,Father Victor,person
3116,"Kipling, Rudyard",Kim,Go on Kim  I did  not  thieve,2168,Kim,person
3139,"Kipling, Rudyard",Kim,What in the world do you make of that said Bennett,2185,Bennett,person
3146,"Kipling, Rudyard",Kim,He does not know anything said Kim I will show you him if you come,2192,Kim,person
3150,"Kipling, Rudyard",Kim,Powers of Darkness was all that Father Victor could say as Bennett marched off with a firm hand on Kims shoulder,2195,Kim,person
3152,"Kipling, Rudyard",Kim,Powers of Darkness was all that Father Victor could say as Bennett marched off with a firm hand on Kims shoulder,2195,Bennett,person
3153,"Kipling, Rudyard",Kim,Powers of Darkness was all that Father Victor could say as Bennett marched off with a firm hand on Kims shoulder,2195,Father Victor,person
3157,"Kipling, Rudyard",Kim,The Search is at an end for me shouted Kim in the vernacular,2197,Kim,person
3168,"Kipling, Rudyard",Kim,Bennett looked at him with the tripleringed uninterest of the creed that lumps ninetenths of the world under the title of heathen,2207,Bennett,person
3171,"Kipling, Rudyard",Kim,The lama addressed himself to Kim  He says What are you going to do Bennett was staring uneasily at Father Victor and Kim for his own ends took upon himself the office of interpreter,2210,Kim,person
3172,"Kipling, Rudyard",Kim,The lama addressed himself to Kim  He says What are you going to do Bennett was staring uneasily at Father Victor and Kim for his own ends took upon himself the office of interpreter,2210,Bennett,person
3173,"Kipling, Rudyard",Kim,The lama addressed himself to Kim  He says What are you going to do Bennett was staring uneasily at Father Victor and Kim for his own ends took upon himself the office of interpreter,2210,Father Victor,person
3175,"Kipling, Rudyard",Kim,I do not see what concern this  faquir  has with the boy who is probably his dupe or his confederate Bennett began,2211,Bennett,person
3178,"Kipling, Rudyard",Kim,Ah Thats your opinion as Secretary to the Regimental Lodge said Father Victor but we might as well tell the old man what we are going to do,2213,Father Victor,person
3181,"Kipling, Rudyard",Kim,Now Kimball I wish you to tell this man what I say word for word,2216,Kim,person
3183,"Kipling, Rudyard",Kim,Kim gathered the import of the next few sentences and began thus  Holy One the thin fool who looks like a camel says that I am the son of a Sahib,2217,Kim,person
3202,"Kipling, Rudyard",Kim,What are you saying asked Mr Bennett,2232,Bennett,person
3203,"Kipling, Rudyard",Kim,What are you saying asked Mr Bennett,2232,Mr Bennett,person
3206,"Kipling, Rudyard",Kim,This last was a reminiscence of some talk with a Eurasian clerk in the Canal Department but it only drew a smile which nettled him,2235,Asia,location
3208,"Kipling, Rudyard",Kim,What is it then said Father Victor not without feeling as he watched the lamas face,2237,Father Victor,person
3210,"Kipling, Rudyard",Kim,It was put out by an Arrow which Kim tapped his foot impatiently as he translated in his own mind from the vernacular to his clumsy English,2239,Kim,person
3212,"Kipling, Rudyard",Kim,Oah it was made by our Lord God Buddha you know and if you wash there you are washed away from all your sins and made as white as cottonwool,2240,Lord,person
3213,"Kipling, Rudyard",Kim,Kim had heard missiontalk in his time,2241,Kim,person
3216,"Kipling, Rudyard",Kim,It is so verree valuable to us  Say that again said Bennett,2243,Bennett,person
3217,"Kipling, Rudyard",Kim,Kim obeyed with amplifications,2244,Kim,person
3220,"Kipling, Rudyard",Kim,cried the Church of England,2246,England,location
3222,"Kipling, Rudyard",Kim,Tck said Father Victor sympathetically,2248,Father Victor,person
3229,"Kipling, Rudyard",Kim,It is not here you see  I see said Father Victor gravely,2254,Father Victor,person
3231,"Kipling, Rudyard",Kim,It would be different Kim if you were not a soldiers son,2256,Kim,person
3234,"Kipling, Rudyard",Kim,Tell him that if he believes in miracles he must believe that  There is no need to play on his credulity Bennett interrupted,2258,Bennett,person
3237,"Kipling, Rudyard",Kim,Consider the chances against it Bennett,2261,Bennett,person
3238,"Kipling, Rudyard",Kim,This one boy in all India and our Regiment of all others on the line o march for him to meet with,2262,India,location
3244,"Kipling, Rudyard",Kim,They saythe old mans eye lighted at Kims speech they say that the meaning of my horoscope is now accomplished and that being led backthough as thou knowest I went out of curiosityto these people and their Red Bull I must needs go to a  madrissah  and be turned into a Sahib,2268,Kim,person
3258,"Kipling, Rudyard",Kim,But stay with the Rajputni or I shall miss thy feet  Oah yess said the boy I have told him everything you tell me to say  And I cannot see any need why he should wait said Bennett feeling in his trouserpocket,2278,Bennett,person
3260,"Kipling, Rudyard",Kim,Maybe hes fond of the lad said Father Victor half arresting the clergymans motion,2280,Father Victor,person
3262,"Kipling, Rudyard",Kim,What can he want now  He saysKim put up one hand,2282,Kim,person
3268,"Kipling, Rudyard",Kim,The two Englishmen sat overwhelmed but there was a look in Bennetts eye that promised ill for Kim when he should be relaxed to the religious arm,2287,Kim,person
3269,"Kipling, Rudyard",Kim,The two Englishmen sat overwhelmed but there was a look in Bennetts eye that promised ill for Kim when he should be relaxed to the religious arm,2287,Bennett,person
3283,"Kipling, Rudyard",Kim,Kim squatted beside him and laid hold upon a fold of his clothing,2299,Kim,person
3295,"Kipling, Rudyard",Kim,For a day and a night and a day Kim pleaded,2306,Kim,person
3297,"Kipling, Rudyard",Kim,No ye dont Father Victor saw Kim edging towards the door and interposed a strong leg,2307,Kim,person
3298,"Kipling, Rudyard",Kim,No ye dont Father Victor saw Kim edging towards the door and interposed a strong leg,2307,Father Victor,person
3301,"Kipling, Rudyard",Kim,The Priest of the Images in the Wonder House in Lahore was more courteous than the thin one here,2309,Lahore,location
3310,"Kipling, Rudyard",Kim,Neither Bennett nor Father Victor found any answer ready,2317,Bennett,person
3311,"Kipling, Rudyard",Kim,Neither Bennett nor Father Victor found any answer ready,2317,Father Victor,person
3312,"Kipling, Rudyard",Kim,Said Kim in English distressed for the lamas agony I think if you will let me go now we will walk away quietly and not steal,2318,Kim,person
3317,"Kipling, Rudyard",Kim,Its the very best days work you ever did for yourself young man said Bennett,2322,Bennett,person
3318,"Kipling, Rudyard",Kim,Good heavens I dont know how to console him said Father Victor watching the lama intently,2323,Father Victor,person
3322,"Kipling, Rudyard",Kim,Bennett if you ,2325,Bennett,person
3338,"Kipling, Rudyard",Kim,Powers of Darkness below said Father Victor who wise in the confessional heard the pain in every sentence,2341,Father Victor,person
3343,"Kipling, Rudyard",Kim,All Desire is redand evil,2343,Dan Dravot,person
3345,"Kipling, Rudyard",Kim,At least go back to the Kulu woman said Kim otherwise thou wilt be lost upon the roads,2345,Kim,person
3350,"Kipling, Rudyard",Kim,Nowhis tone altered as he turned to Kimwhat will they do with thee,2348,Kim,person
3359,"Kipling, Rudyard",Kim,He pointed to Father Victor,2355,Father Victor,person
3364,"Kipling, Rudyard",Kim,The Umballa priest said that my Star was War Kim interjected,2360,Kim,person
3365,"Kipling, Rudyard",Kim,The Umballa priest said that my Star was War Kim interjected,2360,Umballa,location
3370,"Kipling, Rudyard",Kim,Kim put two or three questions in English to Father Victor translating the replies to the lama,2363,Kim,person
3371,"Kipling, Rudyard",Kim,Kim put two or three questions in English to Father Victor translating the replies to the lama,2363,Father Victor,person
3377,"Kipling, Rudyard",Kim,Kimball I suppose youd like to be a soldier   Gorahlog  whitefolk,2368,Kim,person
3381,"Kipling, Rudyard",Kim,Noah Kim shook his head violently,2370,Kim,person
3385,"Kipling, Rudyard",Kim,You will be what youre told to be said Bennett and you should be grateful that were going to help you,2373,Bennett,person
3386,"Kipling, Rudyard",Kim,Kim smiled compassionately,2374,Kim,person
3390,"Kipling, Rudyard",Kim,Bennett fidgeted with impatience and suggested calling a sentry to evict the  faquir ,2377,Bennett,person
3394,"Kipling, Rudyard",Kim,Ask them said the lama and Kim interpreted,2379,Kim,person
3399,"Kipling, Rudyard",Kim,The lama disregarded Kims plans for an early flight,2383,Kim,person
3407,"Kipling, Rudyard",Kim,And in what city is that teaching given  Well said Father Victor in English when Kim had translated that depends,2389,Kim,person
3408,"Kipling, Rudyard",Kim,And in what city is that teaching given  Well said Father Victor in English when Kim had translated that depends,2389,Father Victor,person
3410,"Kipling, Rudyard",Kim,The Regiment would pay for you all the time you are at the Military Orphanage or you might go on the Punjab Masonic Orphanages list not that he or you ud understand what that means but the best schooling a boy can get in India is of course at St Xaviers in Partibus at Lucknow,2390,Punjab,location
3411,"Kipling, Rudyard",Kim,The Regiment would pay for you all the time you are at the Military Orphanage or you might go on the Punjab Masonic Orphanages list not that he or you ud understand what that means but the best schooling a boy can get in India is of course at St Xaviers in Partibus at Lucknow,2390,India,location
3414,"Kipling, Rudyard",Kim,The Regiment would pay for you all the time you are at the Military Orphanage or you might go on the Punjab Masonic Orphanages list not that he or you ud understand what that means but the best schooling a boy can get in India is of course at St Xaviers in Partibus at Lucknow,2390,Lucknow,location
3415,"Kipling, Rudyard",Kim,This took some time to interpret for Bennett wished to cut it short,2391,Bennett,person
3416,"Kipling, Rudyard",Kim,He wants to know how much said Kim placidly,2392,Kim,person
3419,"Kipling, Rudyard",Kim,Father Victor was long past any sense of amazement,2394,Father Victor,person
3420,"Kipling, Rudyard",Kim,Bennett impatient did not understand,2395,Bennett,person
3428,"Kipling, Rudyard",Kim,Hell run slap into the sentries cried Father Victor jumping up as the lama stalked out but I cant leave the boy,2403,Father Victor,person
3429,"Kipling, Rudyard",Kim,Kim made swift motion to follow but checked himself,2404,Kim,person
3433,"Kipling, Rudyard",Kim,Kim settled himself composedly on the Chaplains cot,2407,Kim,person
3438,"Kipling, Rudyard",Kim,They talked long in undertones Father Victor urging some scheme on Mr Bennett who seemed incredulous,2410,Bennett,person
3439,"Kipling, Rudyard",Kim,They talked long in undertones Father Victor urging some scheme on Mr Bennett who seemed incredulous,2410,Mr Bennett,person
3440,"Kipling, Rudyard",Kim,They talked long in undertones Father Victor urging some scheme on Mr Bennett who seemed incredulous,2410,Father Victor,person
3441,"Kipling, Rudyard",Kim,All this was very new and fascinating but Kim felt sleepy,2411,Kim,person
3443,"Kipling, Rudyard",Kim,They called men into the tentone of them certainly was the Colonel as his father had prophesiedand they asked him an infinity of questions chiefly about the woman who looked after him all of which Kim answered truthfully,2412,Kim,person
3445,"Kipling, Rudyard",Kim,They called men into the tentone of them certainly was the Colonel as his father had prophesiedand they asked him an infinity of questions chiefly about the woman who looked after him all of which Kim answered truthfully,2412,Dan Dravot,person
3448,"Kipling, Rudyard",Kim,Sooner or later if he chose he could escape into great grey formless India beyond tents and padres and colonels,2415,India,location
3453,"Kipling, Rudyard",Kim,The Regiment would go on to Umballa and Kim would be sent up partly at the expense of the Lodge and in part by subscription to a place called Sanawar,2419,Kim,person
3454,"Kipling, Rudyard",Kim,The Regiment would go on to Umballa and Kim would be sent up partly at the expense of the Lodge and in part by subscription to a place called Sanawar,2419,Umballa,location
3458,"Kipling, Rudyard",Kim,Its miraculous past all whooping Colonel said Father Victor when he had talked without a break for ten minutes,2420,Father Victor,person
3463,"Kipling, Rudyard",Kim,Then to Kim Youll live to be grateful to your friend the Red Bull yet,2423,Kim,person
3467,"Kipling, Rudyard",Kim,Certainlymost certainly said Bennett,2425,Bennett,person
3468,"Kipling, Rudyard",Kim,But you will not go to Sanawar said Kim  But we will go to Sanawar little man,2426,Kim,person
3473,"Kipling, Rudyard",Kim,When you know your own Regiment a trifle better you wont confuse the line of march with line of battle Kim,2430,Kim,person
3477,"Kipling, Rudyard",Kim,Kim drew his bow again at a venture,2433,Kim,person
3479,"Kipling, Rudyard",Kim,If they were not going to the war at least they did not know what he knew of the talk in the veranda at Umballa,2434,Umballa,location
3481,"Kipling, Rudyard",Kim,I know you are not at thee war now but I tell  you  that as soon as you get to Umballa you will be sent to the warthe new war,2435,Umballa,location
3491,"Kipling, Rudyard",Kim,At the far end of the camp silent as a wild animal an hour later sat Kim newly washed all over in a horrible stiff suit that rasped his arms and legs,2444,Kim,person
3500,"Kipling, Rudyard",Kim,What did ye say about the war  Eight thousand men besides guns said Kim Very soon you will see,2450,Kim,person
3508,"Kipling, Rudyard",Kim,Very early in the morning the white tents came down and disappeared as the Mavericks took a sideroad to Umballa,2457,Umballa,location
3510,"Kipling, Rudyard",Kim,It did not skirt the restingplace and Kim trudging beside a baggagecart under fire of comments from soldiers wives was not so confident as overnight,2458,Kim,person
3512,"Kipling, Rudyard",Kim,He discovered that he was closely watchedFather Victor on the one side and Mr Bennett on the other,2459,Bennett,person
3513,"Kipling, Rudyard",Kim,He discovered that he was closely watchedFather Victor on the one side and Mr Bennett on the other,2459,Mr Bennett,person
3514,"Kipling, Rudyard",Kim,He discovered that he was closely watchedFather Victor on the one side and Mr Bennett on the other,2459,Father Victor,person
3516,"Kipling, Rudyard",Kim,A camelorderly handed the Colonel a letter,2461,Lord,person
3518,"Kipling, Rudyard",Kim,Half a mile in the rear Kim heard a hoarse and joyful clamour rolling down on him through the thick dust,2463,Kim,person
3524,"Kipling, Rudyard",Kim,Our orders are to entrain at Umballa for the Front tomorrow,2468,Umballa,location
3526,"Kipling, Rudyard",Kim,What is thatt said Kim for  front  and  entrain  were newish words to him,2469,Kim,person
3532,"Kipling, Rudyard",Kim,Ye did but Powers o Darkness how did ye know  Kims eyes sparkled,2474,Kim,person
3541,"Kipling, Rudyard",Kim,Are there many more like you in India said Father Victor or are you by way o being a  lusus naturæ,2480,India,location
3542,"Kipling, Rudyard",Kim,Are there many more like you in India said Father Victor or are you by way o being a  lusus naturæ,2480,Father Victor,person
3549,"Kipling, Rudyard",Kim,For the rest of the day Kim found himself an object of distinguished consideration among a few hundred white men,2486,Kim,person
3553,"Kipling, Rudyard",Kim,Kim reflected gravely and said that he would and the woman gave him food,2489,Kim,person
3555,"Kipling, Rudyard",Kim,In many respects this big procession that played music at intervalsthis crowd that talked and laughed so easilyresembled a festival in Lahore city,2490,Lahore,location
3557,"Kipling, Rudyard",Kim,At evening there came out to meet them bands of music and played the Mavericks into camp near Umballa railway station,2492,Umballa,location
3564,"Kipling, Rudyard",Kim,But they fell in on the platform next morning in perfect shape and condition and Kim left behind with the sick women and boys found himself shouting farewells excitedly as the trains drew away,2498,Kim,person
3571,"Kipling, Rudyard",Kim,This was enough for Kim and he retired into his shell,2503,Kim,person
3573,"Kipling, Rudyard",Kim,He could just puzzle out the various English Police notices in Lahore city because they affected his comfort and among the many guests of the woman who looked after him had been a queer German who painted scenery for the Parsee travelling theatre,2504,Lahore,location
3574,"Kipling, Rudyard",Kim,He told Kim that he had been on the barricades in Fortyeight and thereforeat least that was how it struck Kimhe would teach the boy to write in return for food,2505,Kim,person
3576,"Kipling, Rudyard",Kim,Kim had been kicked as far as single letters but did not think well of them,2506,Kim,person
3579,"Kipling, Rudyard",Kim,Go away said Kim scenting evil,2508,Kim,person
3585,"Kipling, Rudyard",Kim,The man explained something or other with white lines on a black board for at least half an hour and Kim continued his interrupted nap,2511,Kim,person
3589,"Kipling, Rudyard",Kim,The man dismissed them and first to spring through the veranda into the open sunshine was Kim,2514,Kim,person
3598,"Kipling, Rudyard",Kim,It was the drummerboy who had been hanging round him all the forenoona fat and freckled person of about fourteen and Kim loathed him from the soles of his boots to his capribbons,2520,Kim,person
3600,"Kipling, Rudyard",Kim,To the bazarto get sweetsfor you said Kim after thought,2521,Kim,person
3605,"Kipling, Rudyard",Kim,How near can we go Kim did not know what bounds meant but he wished to be politefor the present,2525,Kim,person
3618,"Kipling, Rudyard",Kim,There aint a picket in Umballa wouldnt ead you back quicker than you started out,2537,Umballa,location
3620,"Kipling, Rudyard",Kim,This did not impress Kim as much as the knowledge that his raiment would tire him out if he tried to run,2538,Kim,person
3624,"Kipling, Rudyard",Kim,Kim hailed a sweeper who promptly retorted with a piece of unnecessary insolence in the natural belief that the European boy could not follow it,2541,Kim,person
3625,"Kipling, Rudyard",Kim,Kim hailed a sweeper who promptly retorted with a piece of unnecessary insolence in the natural belief that the European boy could not follow it,2541,Europe,location
3628,"Kipling, Rudyard",Kim,Kim put his fettered soul into it thankful for the late chance to abuse somebody in the tongue he knew best,2543,Kim,person
3636,"Kipling, Rudyard",Kim,Servant of Lal Beg Kim knew the God of the sweepers run on my business or we will talk again,2550,Kim,person
3641,"Kipling, Rudyard",Kim,Will he pay said the spruce scribe gathering up his desk and pens and sealingwax all in order,2554,Mahbub Ali,person
3646,"Kipling, Rudyard",Kim,Kim danced with impatience when the slim young Kayeth hove in sight,2559,Kim,person
3648,"Kipling, Rudyard",Kim,Kim danced with impatience when the slim young Kayeth hove in sight,2559,Dan Dravot,person
3658,"Kipling, Rudyard",Kim,Umballa city is as full of them as is Lahore,2569,Umballa,location
3660,"Kipling, Rudyard",Kim,Umballa city is as full of them as is Lahore,2569,Lahore,location
3662,"Kipling, Rudyard",Kim,Mechanically Kim squatted beside himsquatted as only the natives canin spite of the abominable clinging trousers,2571,Kim,person
3665,"Kipling, Rudyard",Kim,That is the price to ask of Sahibs said Kim Now fix me a true one,2573,Kim,person
3673,"Kipling, Rudyard",Kim,Once more what manner of white boy art thou  That shall be said in the letter which is to Mahbub Ali the horsedealer in the Kashmir Serai at Lahore,2578,Mahbub Ali,person
3674,"Kipling, Rudyard",Kim,Once more what manner of white boy art thou  That shall be said in the letter which is to Mahbub Ali the horsedealer in the Kashmir Serai at Lahore,2578,Mahbub Ali,person
3675,"Kipling, Rudyard",Kim,Once more what manner of white boy art thou  That shall be said in the letter which is to Mahbub Ali the horsedealer in the Kashmir Serai at Lahore,2578,Mahbub Ali,person
3676,"Kipling, Rudyard",Kim,Once more what manner of white boy art thou  That shall be said in the letter which is to Mahbub Ali the horsedealer in the Kashmir Serai at Lahore,2578,Lahore,location
3681,"Kipling, Rudyard",Kim,To Mahbub Ali then,2582,Mahbub Ali,person
3682,"Kipling, Rudyard",Kim,To Mahbub Ali then,2582,Mahbub Ali,person
3683,"Kipling, Rudyard",Kim,To Mahbub Ali then,2582,Mahbub Ali,person
3686,"Kipling, Rudyard",Kim,I have come down with the old man as far as Umballa in the train,2584,Umballa,location
3688,"Kipling, Rudyard",Kim,At Umballa I carried the news of the bay mares pedigree,2585,Umballa,location
3692,"Kipling, Rudyard",Kim,What has a bay mare to do  Is it Mahbub Ali the great dealer,2588,Mahbub Ali,person
3693,"Kipling, Rudyard",Kim,What has a bay mare to do  Is it Mahbub Ali the great dealer,2588,Mahbub Ali,person
3694,"Kipling, Rudyard",Kim,What has a bay mare to do  Is it Mahbub Ali the great dealer,2588,Mahbub Ali,person
3701,"Kipling, Rudyard",Kim,We then went on foot towards Benares but on the third day we found a certain regiment,2594,Benares,location
3704,"Kipling, Rudyard",Kim, Kim waited for this shaft to sink into the letterwriters heart cleared his throat and continued  A priest clothed me and gave me a new name  One priest however was a fool,2597,Kim,person
3710,"Kipling, Rudyard",Kim,Come then and help me Mahbub Ali or send me some money for I have not sufficient to pay the writer who writes this,2601,Mahbub Ali,person
3711,"Kipling, Rudyard",Kim,Come then and help me Mahbub Ali or send me some money for I have not sufficient to pay the writer who writes this,2601,Mahbub Ali,person
3712,"Kipling, Rudyard",Kim,Come then and help me Mahbub Ali or send me some money for I have not sufficient to pay the writer who writes this,2601,Mahbub Ali,person
3717,"Kipling, Rudyard",Kim,Thou art as clever as Husain Bux that forged the Treasury stamps at Nucklao,2604,Nucklao,location
3722,"Kipling, Rudyard",Kim,It does not profit to tell lies to Mahbub Ali,2608,Mahbub Ali,person
3723,"Kipling, Rudyard",Kim,It does not profit to tell lies to Mahbub Ali,2608,Mahbub Ali,person
3724,"Kipling, Rudyard",Kim,It does not profit to tell lies to Mahbub Ali,2608,Mahbub Ali,person
3728,"Kipling, Rudyard",Kim,The writer grunted doubtfully but took a stamp out of his desk sealed the letter handed it over to Kim and departed,2611,Kim,person
3730,"Kipling, Rudyard",Kim,Mahbub Alis was a name of power in Umballa,2612,Mahbub Ali,person
3731,"Kipling, Rudyard",Kim,Mahbub Alis was a name of power in Umballa,2612,Mahbub Ali,person
3732,"Kipling, Rudyard",Kim,Mahbub Alis was a name of power in Umballa,2612,Umballa,location
3734,"Kipling, Rudyard",Kim,Mahbub Alis was a name of power in Umballa,2612,Mahbub Ali,person
3737,"Kipling, Rudyard",Kim,That is the way to win a good account with the Gods Kim shouted after him,2613,Kim,person
3740,"Kipling, Rudyard",Kim,What was you bukkin to that nigger about said the drummerboy when Kim returned to the veranda,2615,Kim,person
3756,"Kipling, Rudyard",Kim,You have been in BeEngland  Wy I only come out last troopin season with my mother,2630,England,location
3757,"Kipling, Rudyard",Kim,I should think I ave been in England,2631,England,location
3760,"Kipling, Rudyard",Kim,Tell me something about England,2634,England,location
3762,"Kipling, Rudyard",Kim,Though he would not say so Kim of course disbelieved every word the drummerboy spoke about the Liverpool suburb which was his England,2636,Kim,person
3763,"Kipling, Rudyard",Kim,Though he would not say so Kim of course disbelieved every word the drummerboy spoke about the Liverpool suburb which was his England,2636,England,location
3766,"Kipling, Rudyard",Kim,It passed the heavy time till dinnera most unappetizing meal served to the boys and a few invalids in a corner of a barrackroom,2637,Mahbub Ali,person
3767,"Kipling, Rudyard",Kim,But that he had written to Mahbub Ali Kim would have been almost depressed,2638,Kim,person
3768,"Kipling, Rudyard",Kim,But that he had written to Mahbub Ali Kim would have been almost depressed,2638,Mahbub Ali,person
3769,"Kipling, Rudyard",Kim,But that he had written to Mahbub Ali Kim would have been almost depressed,2638,Mahbub Ali,person
3770,"Kipling, Rudyard",Kim,But that he had written to Mahbub Ali Kim would have been almost depressed,2638,Mahbub Ali,person
3775,"Kipling, Rudyard",Kim,He was grateful when in the course of the afternoon a big soldier took him over to Father Victor who lived in another wing across another dusty paradeground,2640,Father Victor,person
3777,"Kipling, Rudyard",Kim,He looked at Kim more curiously than ever,2642,Kim,person
3795,"Kipling, Rudyard",Kim,Kims face showed that he did not,2659,Kim,person
3800,"Kipling, Rudyard",Kim,Well skip the first part  Its written from Jagadhir Road   Sitting on wayside in grave meditation trusting to be favoured with your Honours applause of present step which recommend your Honour to execute for Almighty Gods sake,2662,Jagadhir Road,location
3804,"Kipling, Rudyard",Kim, If your Honour condescending giving my boy best educations Xavier  I suppose thats St Xaviers in Partibus  in terms of our conversation dated in your tent 15th instant  a businesslike touch there  then Almighty God blessing your Honours succeedings to third an fourth generation and now listen confide in your Honours humble servant for adequate remuneration per hoondi per annum three hundred rupees a year to one expensive education St Xavier Lucknow and allow small time to forward same per hoondi sent to any part of India as your Honour shall address yourself,2666,India,location
3806,"Kipling, Rudyard",Kim, If your Honour condescending giving my boy best educations Xavier  I suppose thats St Xaviers in Partibus  in terms of our conversation dated in your tent 15th instant  a businesslike touch there  then Almighty God blessing your Honours succeedings to third an fourth generation and now listen confide in your Honours humble servant for adequate remuneration per hoondi per annum three hundred rupees a year to one expensive education St Xavier Lucknow and allow small time to forward same per hoondi sent to any part of India as your Honour shall address yourself,2666,Lucknow,location
3808,"Kipling, Rudyard",Kim,This servant of your Honour has presently no place to lay crown of his head but going to Benares by train on account of persecution of old woman talking so much and unanxious residing Saharunpore in any domestic capacity,2667,Benares,location
3816,"Kipling, Rudyard",Kim, So going to Benares where will find address and forward rupees for boy who is apple of eye and for Almighty Gods sake execute this education and your petitioner as in duty bound shall ever awfully pray,2673,Benares,location
3818,"Kipling, Rudyard",Kim,Written by Sobrao Satai Failed Entrance Allahabad University for Venerable Teshoo Lama the priest of Suchzen looking for a River address care of Tirthankars Temple Benares,2674,Benares,location
3819,"Kipling, Rudyard",Kim,Written by Sobrao Satai Failed Entrance Allahabad University for Venerable Teshoo Lama the priest of Suchzen looking for a River address care of Tirthankars Temple Benares,2674,Sobrao Satai,person
3831,"Kipling, Rudyard",Kim,If he says so  The priest whistled then he addressed Kim as an equal,2683,Kim,person
3835,"Kipling, Rudyard",Kim,Yed be brought up to the Church of England,2686,England,location
3836,"Kipling, Rudyard",Kim,Bennett arranged for that,2687,Bennett,person
3839,"Kipling, Rudyard",Kim,Kim saw nothing save a vision of the lama going south in a train with none to beg for him,2690,Kim,person
3842,"Kipling, Rudyard",Kim,If your friend sends the money from BenaresPowers of Darkness below wheres a streetbeggar to raise three hundred rupeesyell go down to Lucknow and Ill pay your fare because I cant touch the subscriptionmoney if I intend as I do to make ye a Catholic,2692,Benares,location
3843,"Kipling, Rudyard",Kim,If your friend sends the money from BenaresPowers of Darkness below wheres a streetbeggar to raise three hundred rupeesyell go down to Lucknow and Ill pay your fare because I cant touch the subscriptionmoney if I intend as I do to make ye a Catholic,2692,Lucknow,location
3849,"Kipling, Rudyard",Kim,We can only walk one step at a time in this world praise God An they sent Bennett to the Front an left me behind,2696,Bennett,person
3850,"Kipling, Rudyard",Kim,Bennett cant expect everything,2697,Bennett,person
3851,"Kipling, Rudyard",Kim,Oah yess said Kim vaguely,2698,Kim,person
3855,"Kipling, Rudyard",Kim,There is nothing said Kim and scratched it,2701,Kim,person
3857,"Kipling, Rudyard",Kim,He was wondering whether Mahbub Ali would send him as much as a whole rupee,2702,Mahbub Ali,person
3858,"Kipling, Rudyard",Kim,He was wondering whether Mahbub Ali would send him as much as a whole rupee,2702,Mahbub Ali,person
3859,"Kipling, Rudyard",Kim,He was wondering whether Mahbub Ali would send him as much as a whole rupee,2702,Mahbub Ali,person
3861,"Kipling, Rudyard",Kim,Then he could pay the letterwriter and write letters to the lama at Benares,2703,Benares,location
3862,"Kipling, Rudyard",Kim,Perhaps Mahbub Ali would visit him next time he came south with horses,2704,Mahbub Ali,person
3863,"Kipling, Rudyard",Kim,Perhaps Mahbub Ali would visit him next time he came south with horses,2704,Mahbub Ali,person
3864,"Kipling, Rudyard",Kim,Perhaps Mahbub Ali would visit him next time he came south with horses,2704,Mahbub Ali,person
3866,"Kipling, Rudyard",Kim,Surely he must know that Kims delivery of the letter to the officer at Umballa had caused the great war which the men and boys had discussed so loudly over the barrack dinnertables,2705,Kim,person
3867,"Kipling, Rudyard",Kim,Surely he must know that Kims delivery of the letter to the officer at Umballa had caused the great war which the men and boys had discussed so loudly over the barrack dinnertables,2705,Umballa,location
3872,"Kipling, Rudyard",Kim,But if Mahbub Ali did not know this it would be very unsafe to tell him so,2706,Mahbub Ali,person
3873,"Kipling, Rudyard",Kim,But if Mahbub Ali did not know this it would be very unsafe to tell him so,2706,Mahbub Ali,person
3874,"Kipling, Rudyard",Kim,But if Mahbub Ali did not know this it would be very unsafe to tell him so,2706,Mahbub Ali,person
3876,"Kipling, Rudyard",Kim,Mahbub Ali was hard upon boys who knew or thought they knew too much,2707,Mahbub Ali,person
3877,"Kipling, Rudyard",Kim,Mahbub Ali was hard upon boys who knew or thought they knew too much,2707,Mahbub Ali,person
3878,"Kipling, Rudyard",Kim,Mahbub Ali was hard upon boys who knew or thought they knew too much,2707,Mahbub Ali,person
3880,"Kipling, Rudyard",Kim,Well till I get further newsFather Victors voice interrupted the reverie,2708,Father Victor,person
3881,"Kipling, Rudyard",Kim,Well till I get further newsFather Victors voice interrupted the reverie,2708,Father Victor,person
3887,"Kipling, Rudyard",Kim,Kim meditated poisoning him with opium borrowed from a barracksweeper but reflected that as they all ate at one table in public this was peculiarly revolting to Kim who preferred to turn his back on the world at meals the stroke might be dangerous,2714,Kim,person
3889,"Kipling, Rudyard",Kim,Kim meditated poisoning him with opium borrowed from a barracksweeper but reflected that as they all ate at one table in public this was peculiarly revolting to Kim who preferred to turn his back on the world at meals the stroke might be dangerous,2714,Dan Dravot,person
